               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.038363,            0.016372,           0.0019209,             0.95652,              0.9595,             0.98687,             0.48866,            0.033486,            0.010865,           0.0050446,           0.0076679,           0.0076679,           0.0076679
                  36,            0.038618,            0.015159,           0.0017797,             0.98628,              0.9807,             0.98756,             0.47602,            0.026745,            0.010858,           0.0050991,            0.007543,            0.007543,            0.007543
                  37,            0.040837,            0.016502,           0.0024187,             0.98738,              0.9755,             0.98832,              0.5546,            0.032268,            0.010352,           0.0054679,            0.007416,            0.007416,            0.007416
                  38,            0.045366,            0.014589,           0.0021786,              0.9472,             0.52844,             0.53476,             0.29099,            0.047545,            0.023736,            0.019562,           0.0072872,           0.0072872,           0.0072872
                  39,            0.045637,            0.015798,           0.0021896,             0.98824,             0.97135,             0.98819,             0.47801,            0.028853,            0.010615,           0.0053736,           0.0071566,           0.0071566,           0.0071566
                  40,            0.041426,            0.014345,           0.0022302,             0.94853,             0.94857,              0.9872,             0.58293,            0.027379,            0.010876,            0.005352,           0.0070243,           0.0070243,           0.0070243
                  41,            0.035296,            0.013731,           0.0020465,             0.92615,              0.9853,             0.95614,             0.50119,            0.027803,            0.010697,           0.0052717,           0.0068906,           0.0068906,           0.0068906
                  42,            0.035184,            0.014537,           0.0016624,             0.98719,             0.98096,             0.98456,             0.53572,            0.031724,            0.010793,           0.0051861,           0.0067555,           0.0067555,           0.0067555
                  43,            0.038283,            0.015858,           0.0014241,             0.98484,             0.97172,              0.9873,             0.51629,            0.031557,            0.010718,           0.0052451,           0.0066191,           0.0066191,           0.0066191
                  44,            0.035744,            0.011986,            0.001463,             0.98856,             0.97063,             0.98917,             0.58531,            0.027631,            0.010341,           0.0052786,           0.0064816,           0.0064816,           0.0064816
                  45,            0.032012,            0.014452,           0.0018209,             0.98333,             0.98063,             0.98871,             0.62365,            0.026048,            0.010239,           0.0051945,           0.0063432,           0.0063432,           0.0063432
                  46,            0.032441,            0.015295,           0.0014431,             0.98725,             0.98071,             0.98736,             0.59599,            0.024935,            0.010023,           0.0051811,            0.006204,            0.006204,            0.006204
                  47,            0.033296,            0.012777,           0.0013776,             0.97024,             0.99139,             0.99009,             0.62396,            0.024536,           0.0099335,           0.0053056,            0.006064,            0.006064,            0.006064
                  48,            0.034314,            0.014529,           0.0014311,             0.95996,              0.9807,             0.97816,             0.56601,             0.02836,            0.010086,           0.0051957,           0.0059235,           0.0059235,           0.0059235
                  49,            0.033522,            0.013036,           0.0012448,             0.97658,             0.99145,             0.98743,             0.57342,            0.025493,            0.010201,           0.0051455,           0.0057826,           0.0057826,           0.0057826
                  50,            0.033438,            0.014242,           0.0013223,             0.98237,             0.98074,             0.98846,             0.54938,            0.025562,           0.0099863,           0.0051536,           0.0056413,           0.0056413,           0.0056413
